--	Center	Openings	Link1	Link2	Link3	Link4	Link5	Link6	Status	Checksum
Snake	2,5	CTSCDSB	TCDBDTB	HDPSPPD	TPBCTTP	CBPHDTD	PCPHHBC	UNIQUE	CTSCDSBTCDBDTBHDPSPPDTPBCTTPCBPHDTDPCPHHBC
Blank	4	TDBPSBP	TSTHTTS	HTPPPPP	BTDHSSP	HPCTDCB	TBPBPCB	UNIQUE	TDBPSBPTSTHTTSHTPPPPPBTDHSSPHPCTDCBTBPBPCB
Blank	3,5,6	SHPCCCC	BHPPDBD	DSDSDBD	DSTHDHB	DCCBCHC	HPSTPSS	UNIQUE	SHPCCCCBHPPDBDDSDSDBDDSTHDHBDCCBCHCHPSTPSS
Blank	5	TPDTHBD	TBBTSCS	DSDTBSC	HTTTTPT	TDTBTBH	CBBHSPS	UNIQUE	TPDTHBDTBBTSCSDSDTBSCHTTTTPTTDTBTBHCBBHSPS
Blank	4	DHTHBPT	BCDPPSC	HPHSSPD	SPBCPDD	HHTTBST	TSSPTTC	UNIQUE	DHTHBPTBCDPPSCHPHSSPDSPBCPDDHHTTBSTTSSPTTC
Blank	2,4,5	SSTSDTS	TCSCCPC	DCBTCDH	TCPHCBT	DHCCHST	SBSHDHB	UNIQUE	SSTSDTSTCSCCPCDCBTCDHTCPHCBTDHCCHSTSBSHDHB
Blank	5	THCPDBS	SDDCHTD	PSDBDPP	SCCCDSD	SCBCCCP	TPHSTCH	UNIQUE	THCPDBSSDDCHTDPSDBDPPSCCCDSDSCBCCCPTPHSTCH
Blank	2,3,6	DSBBSHC	DBCCCSB	DPTPSCB	DBCPCTT	TCHBTSD	PTDCHSS	UNIQUE	DSBBSHCDBCCCSBDPTPSCBDBCPCTTTCHBTSDPTDCHSS
Blank	1	DPDSBCD	CSHBSDT	BSDHPPH	CBPCDDC	CHDHBTS	BCSBHDH	UNIQUE	DPDSBCDCSHBSDTBSDHPPHCBPCDDCCHDHBTSBCSBHDH
Blank	2,3,6	TCHTDTT	THTCTCP	TTHPTCH	PDHSCSB	HTCBDDT	SBBBDCB	UNIQUE	TCHTDTTTHTCTCPTTHPTCHPDHSCSBHTCBDDTSBBBDCB
Blank	3,6	SCHPPCT	SBPTCCS	CPDPDSP	PCSHSHB	BPHDSSD	TSHCTSH	UNIQUE	SCHPPCTSBPTCCSCPDPDSPPCSHSHBBPHDSSDTSHCTSH
Blank	1,4,5	PBBPDDC	BBBBBBB	BBBBBBB	TDTTPCT	BTDDSCP	BCCPHCB	UNIQUE	PBBPDDCBBBBBBBBBBBBBBTDTTPCTBTDDSCPBCCPHCB
Blank	1,4,5	SPBBHBD	BHCCHDC	DTHBHHP	SPBSTTS	TDBHHCH	TSTHTDP	UNIQUE	SPBBHBDBHCCHDCDTHBHHPSPBSTTSTDBHHCHTSTHTDP
Blank	2,6	TBTBTPB	CCSDBPB	SSSPSSB	SPDHSDS	DPDBDCP	DDTHDPB	UNIQUE	TBTBTPBCCSDBPBSSSPSSBSPDHSDSDPDBDCPDDTHDPB
Blank	2,5	BSTDCPH	CDHTPHH	BPHHHTH	HCCPBDD	HTBSBST	CTTCBBD	UNIQUE	BSTDCPHCDHTPHHBPHHHTHHCCPBDDHTBSBSTCTTCBBD
Blank	2,5,6	CPBHTCP	SPTBHBB	SHHPHSS	PSCDCHS	PCSPCBC	HCSBTSP	UNIQUE	CPBHTCPSPTBHBBSHHPHSSPSCDCHSPCSPCBCHCSBTSP
Blank	2,5	TBTHCTC	DCPDDPS	HCBPTDC	BSSTBSB	TSPBDTP	BCCTTBC	UNIQUE	TBTHCTCDCPDDPSHCBPTDCBSSTBSBTSPBDTPBCCTTBC
Blank	2,5,6	SDDSTTC	SBDPTTT	DBSBPBB	HCCHPPH	PSPTBST	HPDDSHH	UNIQUE	SDDSTTCSBDPTTTDBSBPBBHCCHPPHPSPTBSTHPDDSHH
Blank	1,3	BDBCCDP	TDTCDSD	HCCHCBH	THHHDPS	BDTCPSD	DDSTTDH	UNIQUE	BDBCCDPTDTCDSDHCCHCBHTHHHDPSBDTCPSDDDSTTDH
Blank	2,4	HPSBHSD	BCSHTTS	CHHTBDP	CCPCBDP	PHTBSHP	DSPTDPS	UNIQUE	HPSBHSDBCSHTTSCHHTBDPCCPCBDPPHTBSHPDSPTDPS
Blank	3,6	CSTCHDT	HHTSTCP	CPSBPBS	TPBCCCC	DHCCPSD	CSHBBPP	UNIQUE	CSTCHDTHHTSTCPCPSBPBSTPBCCCCDHCCPSDCSHBBPP
Blank	1,6	THSBPPB	HPPPCPC	TBCDHTD	PBPBHBT	CPTBTSB	CTTSSHP	UNIQUE	THSBPPBHPPPCPCTBCDHTDPBPBHBTCPTBTSBCTTSSHP
Blank	2,5,6	HCBPBSS	DPBBSBD	CBTPTPB	BSBPHHB	SBCCDPS	BPSHPTD	UNIQUE	HCBPBSSDPBBSBDCBTPTPBBSBPHHBSBCCDPSBPSHPTD
Blank	1,5	DSSBDSB	DHSCTPB	CTDPPSH	PTCTPTD	TBBPPSD	PBCPCTP	UNIQUE	DSSBDSBDHSCTPBCTDPPSHPTCTPTDTBBPPSDPBCPCTP
Blank	3,5,6	CTCPDTC	CDCDHSS	SHPCDCT	CDCHSBH	DTTCSTD	TSTPDBP	UNIQUE	CTCPDTCCDCDHSSSHPCDCTCDCHSBHDTTCSTDTSTPDBP
Blank	1,3,5	CCHCTSH	PSHPSCD	BBDDTDC	THHTBCS	CHCPHBT	STSTHDT	UNIQUE	CCHCTSHPSHPSCDBBDDTDCTHHTBCSCHCPHBTSTSTHDT
Blank	2,5	DCSSCDC	HPDHTTT	BBHBDCD	BHSCSTS	THBPSPP	PHBTPSC	UNIQUE	DCSSCDCHPDHTTTBBHBDCDBHSCSTSTHBPSPPPHBTPSC
Blank	6	TDDPTBC	SSCDDHC	TTSPSCH	BDDCBCC	BBCTPPH	THTBTBC	UNIQUE	TDDPTBCSSCDDHCTTSPSCHBDDCBCCBBCTPPHTHTBTBC
Blank	2,4,5,6	BPTPTBD	CCCSBCD	SDDTHSB	PBHTBPB	HHBHHDT	SSSSPCB	UNIQUE	BPTPTBDCCCSBCDSDDTHSBPBHTBPBHHBHHDTSSSSPCB
Blank	2,5	TCPBHHB	TBCTPHB	HHSPBHB	DHHTCPS	TCPHPST	PPDSTSC	UNIQUE	TCPBHHBTBCTPHBHHSPBHBDHHTCPSTCPHPSTPPDSTSC
Hex	1,2,4,5	HHSDTSB	SSCBBPP	DPSPCBS	BBSCCSB	SPDDHTT	SSCCCTB	UNIQUE	HHSDTSBSSCBBPPDPSPCBSBBSCCSBSPDDHTTSSCCCTB
Blank	3,5	PDBSDTB	CDSPHSH	THHCBCS	DTCBDDH	TPBHPHT	SDBTSTP	UNIQUE	PDBSDTBCDSPHSHTHHCBCSDTCBDDHTPBHPHTSDBTSTP
Blank	3,5,6	TDHSTBC	PPBHSHS	CTDCSSH	BTBPHHS	TDHPDTD	TSTTCTH	UNIQUE	TDHSTBCPPBHSHSCTDCSSHBTBPHHSTDHPDTDTSTTCTH
Blank	3,5,6	BSCCSBH	CCHPHHS	DPDTCCH	CTHHSTH	DTBPHTP	BHPBPPS	UNIQUE	BSCCSBHCCHPHHSDPDTCCHCTHHSTHDTBPHTPBHPBPPS
Blank	6	PTHDPST	HPBPDTT	PSTSBDB	HPBBSSC	SCCDBHT	BSDHDTH	UNIQUE	PTHDPSTHPBPDTTPSTSBDBHPBBSSCSCCDBHTBSDHDTH
Blank	2,5	CCCBSTS	TDHSCDD	BTCBDDC	TTDPPHP	BBTPPHT	DSBCHSD	UNIQUE	CCCBSTSTDHSCDDBTCBDDCTTDPPHPBBTPPHTDSBCHSD
Blank	1,2,4	PBSPCDH	SCSTBTT	PBCBHTB	DCCTBHH	BPPDHDS	PBSPCSP	UNIQUE	PBSPCDHSCSTBTTPBCBHTBDCCTBHHBPPDHDSPBSPCSP
Blank	6	PPSDPBS	PDPPCHT	PSSDSTB	PBBHTTS	CBDSHSC	HDSHHBD	UNIQUE	PPSDPBSPDPPCHTPSSDSTBPBBHTTSCBDSHSCHDSHHBD
Blank	2,5	BBTSTHB	DSHHTBC	STDSCSP	CSPBHPT	SSTDTDB	BSSPPPP	UNIQUE	BBTSTHBDSHHTBCSTDSCSPCSPBHPTSSTDTDBBSSPPPP
Blank	3	TPPBDSC	BHHTCSC	BPDTHSS	PTSSCHB	BTCSHTH	HSTTCTD	UNIQUE	TPPBDSCBHHTCSCBPDTHSSPTSSCHBBTCSHTHHSTTCTD
Blank	2	SCSBHTD	PBSPTSH	PBDSHTP	SDDSTTC	HSDBCCC	TPCCSPH	UNIQUE	SCSBHTDPBSPTSHPBDSHTPSDDSTTCHSDBCCCTPCCSPH
Blank	2,4	HHPHTBB	DTSCBCH	BHDHTBP	HTPBSHH	BTDCSDC	BHBPTPC	UNIQUE	HHPHTBBDTSCBCHBHDHTBPHTPBSHHBTDCSDCBHBPTPC
Blank	1,2,6	HBPBPSH	TPHDCBH	BBBBBBB	BBBBBBB	BBBBBBB	PPPPTDD	UNIQUE	HBPBPSHTPHDCBHBBBBBBBBBBBBBBBBBBBBBPPPPTDD
Blank	1,2,6	STTHCSD	PSBBSSD	BPBSTPT	BDSCPHP	PSSPBDH	THBBHCP	UNIQUE	STTHCSDPSBBSSDBPBSTPTBDSCPHPPSSPBDHTHBBHCP
Blank	1,2	BDDBTTD	HDHTSDB	PPTPPSS	SBSPTPT	SCCPHSC	HHDPPBC	UNIQUE	BDDBTTDHDHTSDBPPTPPSSSBSPTPTSCCPHSCHHDPPBC
Plus	1,3	CTDPTCH	CDTDHBS	DSBDHBP	BTCHCTC	SCDBPBS	DDTPSHH	UNIQUE	CTDPTCHCDTDHBSDSBDHBPBTCHCTCSCDBPBSDDTPSHH
Blank	2,5	CHSHSPT	SBDHBBC	SPPSPCP	BBTBCDC	CTCDBST	SCCTCTS	UNIQUE	CHSHSPTSBDHBBCSPPSPCPBBTBCDCCTCDBSTSCCTCTS
Blank	1,4,5,6	HDDHPHP	BPDTBTC	TPPSBPC	DDPPSBP	HDBTTPH	DBTBPBC	UNIQUE	HDDHPHPBPDTBTCTPPSBPCDDPPSBPHDBTTPHDBTBPBC
Blank	6	SHCBHTD	CDHCDBH	PCBSSDS	CSCBTDP	SCCCHDD	BCBTBHC	UNIQUE	SHCBHTDCDHCDBHPCBSSDSCSCBTDPSCCCHDDBCBTBHC
Blank	5,6	TTSSPPH	SBSBDHS	SSHPDDB	BHHHHDB	STDCTHC	PCBHBHC	UNIQUE	TTSSPPHSBSBDHSSSHPDDBBHHHHDBSTDCTHCPCBHBHC
Blank	2, 5	HHBHCSS	SSDBCSB	DCSSSSB	HCTDDTP	PSPPTCC	DHBHBDT	UNIQUE	HHBHCSSSSDBCSBDCSSSSBHCTDDTPPSPPTCCDHBHBDT
Blank	2	BBHCPBC	STHHPTH	DPHTBBH	STHPPTS	HSTPPCD	BHTPSTC	UNIQUE	BBHCPBCSTHHPTHDPHTBBHSTHPPTSHSTPPCDBHTPSTC
Blank	4,6	CTBTDHC	BBBBBBB	BBBBBBB	DCBSDSS	TBSPHBH	TDCCSDH	UNIQUE	CTBTDHCBBBBBBBBBBBBBBDCBSDSSTBSPHBHTDCCSDH
Blank	1,4	DBHCBHP	PSCBHCT	HSDHTCT	TPSPBCD	PSPSCBC	CCDTPHT	UNIQUE	DBHCBHPPSCBHCTHSDHTCTTPSPBCDPSPSCBCCCDTPHT
Blank	3,5,6	PCTDBCP	SDHPDDC	CBCHHSC	DSBPHHH	DPPBCTD	TCTPTSP	UNIQUE	PCTDBCPSDHPDDCCBCHHSCDSBPHHHDPPBCTDTCTPTSP
Blank	2,5	SBCDPSD	SDCHPBC	SSCPDTT	CBPSCHB	SBTCSDH	PPDBBTD	UNIQUE	SBCDPSDSDCHPBCSSCPDTTCBPSCHBSBTCSDHPPDBBTD
Diamond	2	DTHTCSD	BDCDHSC	CHCTBHC	CBTCDDC	SPCSHBT	DSTSTTP	UNIQUE	DTHTCSDBDCDHSCCHCTBHCCBTCDDCSPCSHBTDSTSTTP
Blank	2,6	PSHHDSD	PBBBDDS	PDCDDCS	CSHHBSP	BBBCDBC	DSBTDTD	UNIQUE	PSHHDSDPBBBDDSPDCDDCSCSHHBSPBBBCDBCDSBTDTD
Blank	1,2,5	DSSHBTB	HHHTDDH	HPBCDTC	TPTSBCD	SBDPHPD	SPHSTSS	UNIQUE	DSSHBTBHHHTDDHHPBCDTCTPTSBCDSBDPHPDSPHSTSS
Blank	5	HDPCDPT	CDSHBCP	CBHCPPT	PHCPPBB	SBTTHCS	BSBPSCP	UNIQUE	HDPCDPTCDSHBCPCBHCPPTPHCPPBBSBTTHCSBSBPSCP
Blank	1,2,5	SSCCHPD	SHCCPBS	CTHHCTD	DBCBTBP	HPHDBSD	BDTSSHS	UNIQUE	SSCCHPDSHCCPBSCTHHCTDDBCBTBPHPHDBSDBDTSSHS
Blank	2,4,5	PPTSSDP	SBBSPPB	DBSCCBH	HCCSHPT	SCTBCPB	PSDSPCB	UNIQUE	PPTSSDPSBBSPPBDBSCCBHHCCSHPTSCTBCPBPSDSPCB
Hex	1,4,5	STHSSHB	HSBHDPH	HTSCDBS	DCPSHCP	SHCCTHH	TBHTSBC	UNIQUE	STHSSHBHSBHDPHHTSCDBSDCPSHCPSHCCTHHTBHTSBC
Clover	5,6	SDHHPTH	DHHPPHC	SPSSHHS	CTHHSPP	CSCPTTT	CTCTCSC	UNIQUE	SDHHPTHDHHPPHCSPSSHHSCTHHSPPCSCPTTTCTCTCSC
Blank	6	BHHBBSC	HHTPDTT	PPDTBBD	CPBPHBT	BTSHSPS	HTBHBTD	UNIQUE	BHHBBSCHHTPDTTPPDTBBDCPBPHBTBTSHSPSHTBHBTD
Blank	2,6	DBHDPPD	TCPTDTB	DCCTDCT	BTSHDHT	TSTBPCH	PCCDSPT	UNIQUE	DBHDPPDTCPTDTBDCCTDCTBTSHDHTTSTBPCHPCCDSPT
Blank	2,4,6	BPBSTSD	HCHPTHP	BCPBPBC	HBSTSCB	PCCTCTP	HCDBBHB	UNIQUE	BPBSTSDHCHPTHPBCPBPBCHBSTSCBPCCTCTPHCDBBHB
Blank	2,4,6	BPTCTCC	BCSBPCC	DCSCDDS	PHDPSDH	DSPDDCC	PPDBTBH	UNIQUE	BPTCTCCBCSBPCCDCSCDDSPHDPSDHDSPDDCCPPDBTBH
Blank	2,3,6	DSTSPDT	BPTDCCH	DBCTPDT	HSTTSPB	PPDDSBB	PSPHPHC	UNIQUE	DSTSPDTBPTDCCHDBCTPDTHSTTSPBPPDDSBBPSPHPHC
Blank	1,6	THBSPDB	DHPDCPH	SHCBSDD	CPBHPCH	TTCPDTS	CTBCDSP	UNIQUE	THBSPDBDHPDCPHSHCBSDDCPBHPCHTTCPDTSCTBCDSP
Blank	2,5,6	CDPCPDC	SSPBSTH	TTCPHPP	DTCHSPC	HSCDCPC	HPPBBSB	UNIQUE	CDPCPDCSSPBSTHTTCPHPPDTCHSPCHSCDCPCHPPBBSB
Blank	6	SHPCDBB	BBDSDTP	BSPBDHC	SHHSPBH	STDDHTD	CSBCDTH	UNIQUE	SHPCDBBBBDSDTPBSPBDHCSHHSPBHSTDDHTDCSBCDTH
Blank	2,3,4,5	HTDSPBP	TBPDDDS	HSDBHCB	CTCDBCB	BDDDDCC	HTHTHBP	UNIQUE	HTDSPBPTBPDDDSHSDBHCBCTCDBCBBDDDDCCHTHTHBP
Blank	3,5,6	STTCDCD	PPDBBCC	DPSHSCS	SDTCCSH	TCCTDDD	STHPTST	UNIQUE	STTCDCDPPDBBCCDPSHSCSSDTCCSHTCCTDDDSTHPTST
Blank	1,5	TCHBSBB	BHBPCCB	CSBTDPC	PCCHPBH	BHBCPPB	DSCPDSS	UNIQUE	TCHBSBBBHBPCCBCSBTDPCPCCHPBHBHBCPPBDSCPDSS
Blank	3	TTDCHDB	TDTPPPC	SHPHTDH	SDTBDSB	PHDCTST	HDHSHCT	UNIQUE	TTDCHDBTDTPPPCSHPHTDHSDTBDSBPHDCTSTHDHSHCT
Blank	1,4,5	PPBSHPC	THTSHBC	BSHDSTC	HSPHBSS	TPBTTDT	SPTCPSC	UNIQUE	PPBSHPCTHTSHBCBSHDSTCHSPHBSSTPBTTDTSPTCPSC
Blank	3,6	BDTDDTB	DTHHPDP	THTBDCC	HBPTCDT	HTPTHHB	HPTPDSB	UNIQUE	BDTDDTBDTHHPDPTHTBDCCHBPTCDTHTPTHHBHPTPDSB
Blank	3	HPTPPSD	BSCTPBP	DCSSSTP	PDPSTTT	SBDPPDT	SDTTSBS	UNIQUE	HPTPPSDBSCTPBPDCSSSTPPDPSTTTSBDPPDTSDTTSBS
Blank	1,2,5	SSSTPBH	CHBPTDP	PPCSCDS	PSHPHBD	HBBHCTT	SHHHSCH	UNIQUE	SSSTPBHCHBPTDPPPCSCDSPSHPHBDHBBHCTTSHHHSCH
Blank	2,5	HSHDBPS	DTSTPTC	CTTPHHH	SDDSDCC	DDDSCCS	DHTCSCB	UNIQUE	HSHDBPSDTSTPTCCTTPHHHSDDSDCCDDDSCCSDHTCSCB
Blank	3	CDHSHDD	SBDSBTC	BHDSDHD	BHBHBTT	PPCBCHB	HTSDHTT	UNIQUE	CDHSHDDSBDSBTCBHDSDHDBHBHBTTPPCBCHBHTSDHTT
Blank	1,4	CHDPPCP	BDHDBPH	BDTBDTS	BTBDPTD	CSTTSCH	BDSHCDH	UNIQUE	CHDPPCPBDHDBPHBDTBDTSBTBDPTDCSTTSCHBDSHCDH
Blank	2,6	DHPTHSC	PBHBSSP	CBTHBHT	BCSBPPB	PCSTCDB	DCCSTDD	UNIQUE	DHPTHSCPBHBSSPCBTHBHTBCSBPPBPCSTCDBDCCSTDD
Blank	5	HCPHHCH	DCHTBHP	CBPSDHS	BBBHHBB	SPSBHDS	SSDTCST	UNIQUE	HCPHHCHDCHTBHPCBPSDHSBBBHHBBSPSBHDSSSDTCST
Blank	1,3	BCCDTDS	THCCCTD	HCSSSBH	SSHTDTT	PDCCHDC	HSTHPBD	UNIQUE	BCCDTDSTHCCCTDHCSSSBHSSHTDTTPDCCHDCHSTHPBD
Clover	3,6	CSDHSBP	TTBPCSS	BDHPTDB	CCPBPBB	DDCDPSH	BHTSTCP	UNIQUE	CSDHSBPTTBPCSSBDHPTDBCCPBPBBDDCDPSHBHTSTCP
Blank	2	BTBPSSS	BCPTCDC	CPDDPPP	HCPSBDC	TTSCTHH	CBSTSCS	UNIQUE	BTBPSSSBCPTCDCCPDDPPPHCPSBDCTTSCTHHCBSTSCS
Blank	2,4,5	PSDCDBH	BPTHCDC	SPCTSHS	BBCPHHH	CCPTDPS	TSBHHCS	UNIQUE	PSDCDBHBPTHCDCSPCTSHSBBCPHHHCCPTDPSTSBHHCS
Blank	3	SDPBCTH	HPPDDCC	BCBPBHH	HDCSCSP	BPTSPPS	DSCTPBD	UNIQUE	SDPBCTHHPPDDCCBCBPBHHHDCSCSPBPTSPPSDSCTPBD
Blank	3,6	PBCDDBT	CHCHTPT	CCHDDPD	HHCPCTP	BBSSHBC	BBSTTPD	UNIQUE	PBCDDBTCHCHTPTCCHDDPDHHCPCTPBBSSHBCBBSTTPD
Clover	1,2,4	TDHBBPS	SSHCSHS	CSBBCDT	SPTBBHS	PHBTBPT	HHTPCSB	UNIQUE	TDHBBPSSSHCSHSCSBBCDTSPTBBHSPHBTBPTHHTPCSB
Blank	3, 5	CCHPPDB	CDHBSCC	SCCBSSD	HTTBHDP	DSPDBPH	PCTCSBS	UNIQUE	CCHPPDBCDHBSCCSCCBSSDHTTBHDPDSPDBPHPCTCSBS
Blank	5	TPSBTTC	SPBDPHB	DCDTSHC	CSCHPTB	PBCHSST	DSTTTDT	UNIQUE	TPSBTTCSPBDPHBDCDTSHCCSCHPTBPBCHSSTDSTTTDT
Blank	1,4,6	BTTTCDB	DTHHPTB	HSHTSHS	DBHHSCB	PCCCDBC	HTHDCCS	UNIQUE	BTTTCDBDTHHPTBHSHTSHSDBHHSCBPCCCDBCHTHDCCS
Blank	5,6	TTSSSPS	DHDTPCP	PTDTTCH	HDPHCTT	DBPPPBP	BBSTHDS	UNIQUE	TTSSSPSDHDTPCPPTDTTCHHDPHCTTDBPPPBPBBSTHDS
Blank	2	CBBDSSB	TCHCPSC	PDTCBHC	TCBCPHT	BCPBPSP	HSSTBBB	UNIQUE	CBBDSSBTCHCPSCPDTCBHCTCBCPHTBCPBPSPHSSTBBB
Blank	5	BBBBBBB	DSTDCPS	CPHHCDH	HBTDTPC	TPPSDHB	BHSHDBP	UNIQUE	BBBBBBBDSTDCPSCPHHCDHHBTDTPCTPPSDHBBHSHDBP
Blank	3	SSTTPBC	PSHTBSP	HCHTTTC	HCCCCDC	BCBTSCH	DTHTSDS	UNIQUE	SSTTPBCPSHTBSPHCHTTTCHCCCCDCBCBTSCHDTHTSDS
Blank	2,3,6	CDHCHBD	HPPCSSC	CPCDTSS	BDSDDHD	PHTTDHH	DDPTCPH	UNIQUE	CDHCHBDHPPCSSCCPCDTSSBDSDDHDPHTTDHHDDPTCPH
Blank	5	STCHBCD	BPSHBHT	BTCSPTB	TTDCHDB	HPCTPHB	HSCCTTD	UNIQUE	STCHBCDBPSHBHTBTCSPTBTTDCHDBHPCTPHBHSCCTTD
Blank	6	DSTPTTH	TCHPSCT	PHSPTCB	HHSSSHH	HHTHHCH	PTTPHTB	UNIQUE	DSTPTTHTCHPSCTPHSPTCBHHSSSHHHHTHHCHPTTPHTB
Plus	5	SPSBBCS	TCPTTSB	HCDTPCC	PHBSHSP	HCBDTHS	CPSPTTD	UNIQUE	SPSBBCSTCPTTSBHCDTPCCPHBSHSPHCBDTHSCPSPTTD
Blank	3	HPBCSSC	DDSDDCS	HCBDHHH	SCHHHHS	DTBSHDH	DHTBTHD	UNIQUE	HPBCSSCDDSDDCSHCBDHHHSCHHHHSDTBSHDHDHTBTHD
Diamond	5	HBPTCDT	SDHDSBD	CBSTSSB	BTTDHHS	PDCBDBD	PTTTDBT	UNIQUE	HBPTCDTSDHDSBDCBSTSSBBTTDHHSPDCBDBDPTTTDBT
Blank	1,2,3,4	DDSBCBC	DDCSDDC	DSSCTSP	BPPTPCC	HSTDPTD	PSSHSBP	UNIQUE	DDSBCBCDDCSDDCDSSCTSPBPPTPCCHSTDPTDPSSHSBP
Blank	6	PHHTTHH	TCTSPBS	DHPHBPS	SBBHDBD	DPBSHST	HSTBSBB	UNIQUE	PHHTTHHTCTSPBSDHPHBPSSBBHDBDDPBSHSTHSTBSBB
Blank	3,6	SCBCDHP	PCCTPPB	DSHTPCC	BPSSBHS	TBHDTPC	SPTSPBD	UNIQUE	SCBCDHPPCCTPPBDSHTPCCBPSSBHSTBHDTPCSPTSPBD
Blank	1,4	HPTPTCH	BBBBBBB	BBBBBBB	PSBBSTC	BDTTHTH	HCTTPPS	UNIQUE	HPTPTCHBBBBBBBBBBBBBBPSBBSTCBDTTHTHHCTTPPS
Blank	2, 5	CCDBTDD	HBPCHCP	SHSPCTP	CHTSCTP	PBBPCTC	CPBBHBD	UNIQUE	CCDBTDDHBPCHCPSHSPCTPCHTSCTPPBBPCTCCPBBHBD
Plus	3,5	HSPCHSS	HDDTDTC	PDPTBSS	PCDSSPC	PHCBSBS	STHTBPC	UNIQUE	HSPCHSSHDDTDTCPDPTBSSPCDSSPCPHCBSBSSTHTBPC
Blank	6	PPTCTHH	CCHHBSP	PBPSCDS	DDCDPBT	PDTSCPC	PCTPSDT	UNIQUE	PPTCTHHCCHHBSPPBPSCDSDDCDPBTPDTSCPCPCTPSDT
Blank	3,6	PTHPSBB	HSHSSCT	HPSSPHS	TTHBCPC	DCTDCHS	SSCDPPS	UNIQUE	PTHPSBBHSHSSCTHPSSPHSTTHBCPCDCTDCHSSSCDPPS
Blank	3,4,6	BTDCTPP	PSCCCTB	SHCPSSH	THTPDPH	BDTSBPT	PPTSTCP	UNIQUE	BTDCTPPPSCCCTBSHCPSSHTHTPDPHBDTSBPTPPTSTCP
Blank	3,4,5	TBTPSPH	DDHSSBB	DCTBSDC	CPDDBBS	THSTBDC	DSBTSCH	UNIQUE	TBTPSPHDDHSSBBDCTBSDCCPDDBBSTHSTBDCDSBTSCH
Hex	1	HPHTCTH	HTHDTHH	DDCSHDS	DSBBPHC	BSBBBPT	BHPCBCB	UNIQUE	HPHTCTHHTHDTHHDDCSHDSDSBBPHCBSBBBPTBHPCBCB
Blank	2,4,5,6	PBPPBPD	HHBHTDS	BBBDTPP	TPPTBCP	DDSCHTP	TCHBCHD	UNIQUE	PBPPBPDHHBHTDSBBBDTPPTPPTBCPDDSCHTPTCHBCHD
Blank	5	BDTPCBT	CCCDPSC	SBCHBPS	PCBCDSD	BHTTTTB	HHSHTDS	UNIQUE	BDTPCBTCCCDPSCSBCHBPSPCBCDSDBHTTTTBHHSHTDS
Plus	2,5,6	PTSHDDS	TSSDTHD	BPHSDBH	PBCTDHD	TSTTBBT	SPCCCSD	UNIQUE	PTSHDDSTSSDTHDBPHSDBHPBCTDHDTSTTBBTSPCCCSD
Blank	2,5	BTPHBDT	CSBPDDB	CSBBSPD	CHSDCBC	CBPDBSP	TCPHSDB	UNIQUE	BTPHBDTCSBPDDBCSBBSPDCHSDCBCCBPDBSPTCPHSDB
Blank	2,6	PTCBHCD	TCTDSHP	BSPDHPS	TPCCSHP	BDCBTHH	CHCSSDB	UNIQUE	PTCBHCDTCTDSHPBSPDHPSTPCCSHPBDCBTHHCHCSSDB
Blank	1,6	DCCBBCT	BBSPTPB	SCCCPTC	CDDHCBC	TSSPBPP	TCHDBHD	UNIQUE	DCCBBCTBBSPTPBSCCCPTCCDDHCBCTSSPBPPTCHDBHD
Blank	1,2,5	DCSBDDH	CPPPBDT	BPSHCDP	TDPBBPH	CSBDHHC	BHDBTDP	UNIQUE	DCSBDDHCPPPBDTBPSHCDPTDPBBPHCSBDHHCBHDBTDP
Blank	1,3	TCHCTPT	DPDPSCH	PSHPDDH	SCHPDPP	HPBPDTT	DDDHHSS	UNIQUE	TCHCTPTDPDPSCHPSHPDDHSCHPDPPHPBPDTTDDDHHSS
Blank	2,5	BTSPHDH	TSDSDPH	DPDTCPH	CTBPPPP	BHPCBSP	TSTHSSP	UNIQUE	BTSPHDHTSDSDPHDPDTCPHCTBPPPPBHPCBSPTSTHSSP
Blank	3,4	PDPBPSP	HHDTSCH	DPPSHDP	CHHSTCT	BSHBPPP	DPPPDHT	UNIQUE	PDPBPSPHHDTSCHDPPSHDPCHHSTCTBSHBPPPDPPPDHT
Blank	2	BBDTHDS	HHTCCDC	DPPTBHD	CCHCHSD	TPPSDCC	HBHPHST	UNIQUE	BBDTHDSHHTCCDCDPPTBHDCCHCHSDTPPSDCCHBHPHST
Blank	2,6	CTPCTHC	CDHSBCH	DCBPBPB	BDTPCBT	TPBBHHB	CBTTSDS	UNIQUE	CTPCTHCCDHSBCHDCBPBPBBDTPCBTTPBBHHBCBTTSDS
Blank	3,6	PTSCTSP	PBSTPHC	BTBTTBC	CBHSBDC	CBDSPHT	HDHHDPS	UNIQUE	PTSCTSPPBSTPHCBTBTTBCCBHSBDCCBDSPHTHDHHDPS
Blank	3	BPCCDSS	DSBPDBP	HPCHHBS	SSHBHPS	CHCTPDB	DBSCCBH	UNIQUE	BPCCDSSDSBPDBPHPCHHBSSSHBHPSCHCTPDBDBSCCBH
Blank	3,6	HDSPPPD	BCDDHCS	PSPTHBH	DSHSTPC	BPSTTBP	BTTCBTC	UNIQUE	HDSPPPDBCDDHCSPSPTHBHDSHSTPCBPSTTBPBTTCBTC
